日期	周几	上班	下班	加班时长	实际提交	剩余调休时间:16	对应加班时间段	总加班时长:50.4	实际提交时长34.4
2025/11/26	周三	9:16	20:30	2.5	2.5				
2025/11/27	周四	8:16	18:02						
2025/11/28	周五	未打卡							
2025/11/29	周六								
2025/11/30	周天								
2025/12/1	周一	8:21	17:50						
2025/12/2	周二	8:17	21:16	3.2	3.2				
2025/12/3	周三	8:23	17:46						
2025/12/4	周四	9:19	20:33	2.5	2.5				
2025/12/5	周五	8:18	21:02	3	3				
2025/12/6	周六								
2025/12/7	周天								
2025/12/8	周一	8:20	21:37	3.6	3.6				
2025/12/9	周二	8:16	23:07	5.1	2.1	3	20:07~23:07		
2025/12/10	周三	9:16	23:49	5.8	2.5	3.3	20:30~23:49		
2025/12/11	周四	9:17	23:03	5	5				
2025/12/12	周五	8:22	21:43	3.7	2	1.7	20:00~21:43		
2025/12/13	周六								
2025/12/14	周天								
2025/12/15	周一	8:16	22:39	4.6	2	2.6	20:00~22:39		
2025/12/16	周二	8:25	23:34	5.5	2	3.5	20:00~23:34		
2025/12/17	周三	9:20	20:45	2.7	2	0.7	20:00~20:45		
2025/12/18	周四	9:17	21:14	3.2	2	1.2	20:00~21:14		
2025/12/19	周五	8:52	17:34						
2025/12/20	周六								
2025/12/21	周天								
2025/12/22	周一	未打卡							
2025/12/23	周二	未打卡							
2025/12/24	周三	未打卡							
2025/12/25	周四								
